pod,namespace,node
istio-auth-ingressgateway-84994966c9-r4zpz,istio-system,dreamy-elbakyan-1009943836
istio-internal-gauth-ingressgateway-64fff4d8f8-mql4h,istio-system,dreamy-elbakyan-1009943836
istio-internal-gauth-ingressgateway-64fff4d8f8-p76k6,istio-system,dreamy-elbakyan-1009943836
istio-internal-ingressgateway-79c54cb94d-m9fqq,istio-system,dreamy-elbakyan-1009943836
istio-public-ingressgateway-746cbc79dd-r466m,istio-system,dreamy-elbakyan-1009943836
istio-public-ingressgateway-746cbc79dd-t5k6x,istio-system,dreamy-elbakyan-1009943836
istio-public-pinkies-ingressgateway-58d59f76c8-qpwcv,istio-system,dreamy-elbakyan-1009943836
istiod-8587685b9f-lr6rb,istio-system,dreamy-elbakyan-1009943836
istio-auth-ingressgateway-84994966c9-rp6l7,istio-system,recursing-sammet-1140007179
istio-internal-gauth-ingressgateway-64fff4d8f8-rrk6p,istio-system,recursing-sammet-1140007179
istio-internal-ingressgateway-79c54cb94d-ngx66,istio-system,recursing-sammet-1140007179
istio-public-ingressgateway-746cbc79dd-tvkjg,istio-system,recursing-sammet-1140007179
istio-public-pinkies-ingressgateway-58d59f76c8-rckzl,istio-system,recursing-sammet-1140007179
istiod-8587685b9f-lwml6,istio-system,recursing-sammet-1140007179
istiod-8587685b9f-mqnfw,istio-system,recursing-sammet-1140007179
istio-auth-ingressgateway-84994966c9-sss7x,istio-system,serene-herschel-1023060698
istio-internal-gauth-ingressgateway-64fff4d8f8-w9xx4,istio-system,serene-herschel-1023060698
istio-internal-ingressgateway-79c54cb94d-qknm6,istio-system,serene-herschel-1023060698
istio-public-ingressgateway-746cbc79dd-v2xxr,istio-system,serene-herschel-1023060698
istio-public-pinkies-ingressgateway-58d59f76c8-s56x4,istio-system,serene-herschel-1023060698
istiod-8587685b9f-ns7w9,istio-system,serene-herschel-1023060698
istiod-8587685b9f-rjt9x,istio-system,serene-herschel-1023060698
istio-auth-ingressgateway-84994966c9-wbnt2,istio-system,wonderful-engelbart-1890491949
istio-internal-ingressgateway-79c54cb94d-t2ddz,istio-system,wonderful-engelbart-1890491949
istio-public-pinkies-ingressgateway-58d59f76c8-t68lv,istio-system,wonderful-engelbart-1890491949
istiod-8587685b9f-z7c6q,istio-system,wonderful-engelbart-1890491949
istiod-8587685b9f-z8xbr,istio-system,wonderful-engelbart-1890491949
istiod-8587685b9f-zlkq6,istio-system,wonderful-engelbart-1890491949
istio-internal-ingressgateway-79c54cb94d-t2m7j,istio-system,optimistic-moore-3436919910
istio-public-ingressgateway-746cbc79dd-w974l,istio-system,optimistic-moore-3436919910
istio-auth-ingressgateway-84994966c9-whpdz,istio-system,jovial-haibt-3338707627
istio-internal-gauth-ingressgateway-64fff4d8f8-wwpnq,istio-system,jovial-haibt-3338707627
istio-internal-ingressgateway-79c54cb94d-v74md,istio-system,jovial-haibt-3338707627
istio-internal-ingressgateway-79c54cb94d-vtkwn,istio-system,jovial-haibt-3338707627
istiod-8587685b9f-zzd4k,istio-system,jovial-haibt-3338707627
otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-f7plbs,logs,bold-hugle-1942802396
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-2scgm,logs,bold-hugle-1942802396
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9d7gx5k,logs,crazy-mendel-236674130
otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-f7svtc,logs,crazy-mendel-236674130
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9d94pnv,logs,dreamy-noether-2872673193
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-45gws,logs,dreamy-noether-2872673193
otel-o11y-ob3-logs-beta-opentelemetry-collector-7875869bcf5mk99,logs,eager-hugle-1541357341
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9d96vmb,logs,eager-hugle-1541357341
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-9m58q,logs,eager-hugle-1541357341
otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-f7wrhf,logs,gifted-diffie-3595658384
