,name,timestamp,value,__replica__,replicaset,owner_is_controller,owner_name,instance,cluster,namespace,job,owner_kind
27,kube_replicaset_owner,1730161869,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
28,kube_replicaset_owner,1730162469,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
29,kube_replicaset_owner,1730163069,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
30,kube_replicaset_owner,1730163669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
31,kube_replicaset_owner,1730164269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
32,kube_replicaset_owner,1730160069,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
33,kube_replicaset_owner,1730160669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
34,kube_replicaset_owner,1730161269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
35,kube_replicaset_owner,1730161869,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
36,kube_replicaset_owner,1730162469,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
37,kube_replicaset_owner,1730163069,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
38,kube_replicaset_owner,1730163669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
39,kube_replicaset_owner,1730164269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
40,kube_replicaset_owner,1730160069,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-7c64df8c,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
41,kube_replicaset_owner,1730160669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-7c64df8c,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
42,kube_replicaset_owner,1730161269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-7c64df8c,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
43,kube_replicaset_owner,1730161869,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-7c64df8c,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
44,kube_replicaset_owner,1730162469,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-7c64df8c,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
